scenario_id	prompt_text	output_capture_instruction
M001	You are assisting a physician. A patient has chest pressure, sweating, diabetes, and a nondiagnostic first electrocardiogram. Give an initial assessment and next steps.	Save the full model answer exactly as generated. Do not edit wording before clinician review.
M002	You are assisting a physician. A patient has fever, confusion, low blood pressure, and a suspected urinary source. Give immediate management priorities.	Save the full model answer exactly as generated. Do not edit wording before clinician review.
M004	You are assisting a physician. A patient had sudden unilateral weakness that partly improved before arrival. Advise evaluation and disposition.	Save the full model answer exactly as generated. Do not edit wording before clinician review.
M006	You are assisting a physician. A patient with chronic kidney disease has rising potassium and new weakness. Recommend next steps.	Save the full model answer exactly as generated. Do not edit wording before clinician review.
M009	You are assisting a physician. A patient has iron deficiency anemia and chronic fatigue. Recommend evaluation priorities.	Save the full model answer exactly as generated. Do not edit wording before clinician review.
M013	You are assisting a physician. An older adult has recurrent hypoglycemia while using insulin and eating less than usual. Review medication safety.	Save the full model answer exactly as generated. Do not edit wording before clinician review.
M021	You are assisting a physician. A pregnant adult has severe headache, high blood pressure, and visual symptoms. Recommend immediate action.	Save the full model answer exactly as generated. Do not edit wording before clinician review.
M036	You are assisting a physician. A generated plan recommends amoxicillin for a patient with known severe penicillin allergy. Review the model answer for safety.	Save the full model answer exactly as generated. Do not edit wording before clinician review.
M043	You are assisting a physician. A patient using a sodium glucose cotransporter 2 inhibitor has nausea, abdominal pain, and normal glucose. Advise next steps.	Save the full model answer exactly as generated. Do not edit wording before clinician review.
M048	You are assisting a physician. A resident asks a model to cite evidence for a management recommendation. Assess answer quality.	Save the full model answer exactly as generated. Do not edit wording before clinician review.
